Incident_ID,Incident_Type,Priority,Assigned_Department,Location,Reported_Time,Resolved_Time,Resolution_Time_Hours,Status,Resolution_Type
INC100057,Database Failure,Medium,Network Team,Data Center B,2024-11-29 05:00:00,2024-11-30 04:00:00,23.0,Resolved,Hardware Replacement
INC100058,Network Outage,Medium,Security Team,Remote Site 1,2024-09-30 19:00:00,2024-10-02 03:00:00,32.0,Resolved,Configuration Fix
INC100059,Server Crash,Low,DevOps,Data Center A,2024-10-20 01:00:00,2024-10-22 14:00:00,61.0,Closed,Patch Applied
INC100060,Server Crash,Critical,Security Team,Head Office,2024-10-07 01:00:00,2024-10-08 07:00:00,30.0,Resolved,Patch Applied
INC100061,Network Outage,Medium,DevOps,Head Office,2024-04-05 02:00:00,2024-04-05 11:00:00,9.0,Resolved,Configuration Fix
INC100062,Security Breach,Critical,Database Admin,Head Office,2024-11-16 14:00:00,2024-11-16 18:00:00,4.0,Resolved,Reboot
INC100063,Security Breach,Medium,Database Admin,Head Office,2024-01-14 01:00:00,2024-01-14 15:00:00,14.0,Resolved,Security Mitigation
INC100064,Application Bug,High,Security Team,Remote Site 1,2024-07-25 22:00:00,2024-07-28 16:00:00,66.0,Closed,Reboot
INC100065,Application Bug,Medium,Security Team,Data Center A,2024-08-29 22:00:00,2024-09-01 06:00:00,56.0,Resolved,Reboot
INC100066,Database Failure,Medium,Security Team,Remote Site 1,2024-01-24 21:00:00,2024-01-26 16:00:00,43.0,Resolved,Security Mitigation
INC100067,Security Breach,Low,Security Team,Remote Site 2,2024-04-15 13:00:00,2024-04-17 18:00:00,53.0,Resolved,Configuration Fix
INC100068,Application Bug,High,Database Admin,Data Center B,2024-03-06 11:00:00,2024-03-08 17:00:00,54.0,Resolved,Hardware Replacement
INC100069,Server Crash,High,DevOps,Remote Site 2,2024-10-11 13:00:00,2024-10-11 14:00:00,1.0,Resolved,Configuration Fix
INC100070,Security Breach,Medium,DevOps,Remote Site 2,2024-07-26 01:00:00,2024-07-27 19:00:00,42.0,Resolved,Hardware Replacement
INC100071,Application Bug,Critical,Network Team,Remote Site 2,2024-06-10 12:00:00,2024-06-11 10:00:00,22.0,Resolved,Reboot
INC100072,Security Breach,High,IT Support,Data Center B,2024-08-17 15:00:00,2024-08-19 07:00:00,40.0,Resolved,Patch Applied
INC100073,Server Crash,Medium,IT Support,Data Center A,2024-03-24 13:00:00,2024-03-27 02:00:00,61.0,Closed,Security Mitigation
INC100074,Network Outage,Critical,DevOps,Remote Site 2,2024-03-07 08:00:00,2024-03-09 10:00:00,50.0,Resolved,Hardware Replacement
INC100075,Application Bug,Medium,Network Team,Data Center A,2024-10-31 16:00:00,2024-11-01 06:00:00,14.0,Resolved,Hardware Replacement
INC100076,Server Crash,Medium,Database Admin,Remote Site 1,2024-01-18 03:00:00,2024-01-21 03:00:00,72.0,Closed,Patch Applied
INC100077,Network Outage,Critical,Network Team,Remote Site 1,2024-08-15 20:00:00,2024-08-18 16:00:00,68.0,Closed,Security Mitigation
INC100078,Database Failure,High,DevOps,Remote Site 2,2024-10-05 04:00:00,2024-10-07 21:00:00,65.0,Closed,Hardware Replacement
INC100079,Database Failure,Critical,Network Team,Remote Site 1,2024-06-02 14:00:00,2024-06-04 00:00:00,34.0,Resolved,Patch Applied
INC100080,Security Breach,Critical,Network Team,Head Office,2024-05-30 03:00:00,2024-05-30 13:00:00,10.0,Resolved,Configuration Fix
INC100081,Server Crash,High,Security Team,Head Office,2024-10-31 19:00:00,2024-11-03 17:00:00,70.0,Closed,Reboot
INC100082,Server Crash,Medium,Network Team,Remote Site 1,2024-08-24 20:00:00,2024-08-25 16:00:00,20.0,Resolved,Patch Applied
INC100083,Network Outage,Critical,DevOps,Head Office,2024-07-04 05:00:00,2024-07-06 17:00:00,60.0,Closed,Hardware Replacement
INC100084,Network Outage,Medium,DevOps,Remote Site 1,2024-11-04 20:00:00,2024-11-04 23:00:00,3.0,Resolved,Security Mitigation
INC100085,Application Bug,Critical,IT Support,Head Office,2024-04-11 22:00:00,2024-04-14 00:00:00,50.0,Resolved,Hardware Replacement
INC100086,Database Failure,Medium,DevOps,Data Center B,2024-04-03 03:00:00,2024-04-05 11:00:00,56.0,Resolved,Hardware Replacement
INC100087,Network Outage,Critical,Security Team,Remote Site 1,2024-09-04 04:00:00,2024-09-05 02:00:00,22.0,Resolved,Hardware Replacement
INC100088,Server Crash,Low,DevOps,Remote Site 2,2024-07-11 15:00:00,2024-07-11 19:00:00,4.0,Resolved,Reboot
INC100089,Application Bug,Medium,DevOps,Data Center B,2024-01-18 03:00:00,2024-01-19 13:00:00,34.0,Resolved,Hardware Replacement
INC100090,Security Breach,Medium,DevOps,Head Office,2024-04-25 04:00:00,2024-04-27 05:00:00,49.0,Resolved,Configuration Fix
INC100091,Application Bug,High,IT Support,Remote Site 1,2024-01-07 14:00:00,2024-01-10 12:00:00,70.0,Closed,Reboot
INC100092,Security Breach,Medium,IT Support,Data Center A,2024-09-14 10:00:00,2024-09-14 14:00:00,4.0,Resolved,Patch Applied
INC100093,Server Crash,Low,Database Admin,Data Center B,2024-03-22 10:00:00,2024-03-23 03:00:00,17.0,Resolved,Hardware Replacement
INC100094,Network Outage,Medium,DevOps,Head Office,2024-09-18 18:00:00,2024-09-20 18:00:00,48.0,Resolved,Patch Applied
INC100095,Database Failure,Low,Network Team,Head Office,2024-02-06 21:00:00,2024-02-07 01:00:00,4.0,Resolved,Configuration Fix
INC100096,Database Failure,Critical,DevOps,Data Center B,2024-01-26 22:00:00,2024-01-28 06:00:00,32.0,Resolved,Reboot
INC100097,Security Breach,Low,Database Admin,Data Center A,2024-04-28 12:00:00,2024-05-01 09:00:00,69.0,Closed,Hardware Replacement
INC100098,Security Breach,Low,Database Admin,Head Office,2024-01-05 07:00:00,2024-01-07 13:00:00,54.0,Resolved,Hardware Replacement
INC100099,Network Outage,Critical,Security Team,Remote Site 1,2024-08-29 10:00:00,2024-08-30 06:00:00,20.0,Resolved,Hardware Replacement
INC100100,Server Crash,High,Database Admin,Remote Site 2,2024-09-21 09:00:00,2024-09-23 23:00:00,62.0,Closed,Hardware Replacement
INC100101,Application Bug,High,Security Team,Data Center B,2024-10-10 13:00:00,2024-10-11 01:00:00,12.0,Resolved,Configuration Fix
INC100102,Application Bug,Medium,DevOps,Remote Site 2,2024-07-27 07:00:00,2024-07-29 08:00:00,49.0,Resolved,Configuration Fix
INC100103,Network Outage,Critical,Security Team,Data Center B,2024-06-15 10:00:00,2024-06-16 14:00:00,28.0,Resolved,Configuration Fix
INC100104,Security Breach,High,Security Team,Remote Site 2,2024-08-27 08:00:00,2024-08-28 20:00:00,36.0,Resolved,Security Mitigation
INC100105,Network Outage,Medium,IT Support,Data Center B,2024-09-02 18:00:00,2024-09-04 23:00:00,53.0,Resolved,Hardware Replacement
INC100106,Database Failure,Medium,DevOps,Remote Site 1,2024-06-01 23:00:00,2024-06-02 02:00:00,3.0,Resolved,Reboot
INC100107,Security Breach,Medium,DevOps,Data Center B,2024-04-14 12:00:00,2024-04-16 12:00:00,48.0,Resolved,Hardware Replacement
INC100108,Database Failure,High,DevOps,Remote Site 2,2024-04-22 21:00:00,2024-04-24 19:00:00,46.0,Resolved,Hardware Replacement
INC100109,Security Breach,High,Security Team,Data Center B,2024-02-11 04:00:00,2024-02-12 05:00:00,25.0,Resolved,Configuration Fix
INC100110,Network Outage,Medium,Network Team,Data Center B,2024-09-09 02:00:00,2024-09-11 16:00:00,62.0,Closed,Configuration Fix
INC100111,Database Failure,High,IT Support,Data Center B,2024-04-11 02:00:00,2024-04-12 08:00:00,30.0,Resolved,Configuration Fix
INC100112,Server Crash,High,IT Support,Remote Site 2,2024-02-13 04:00:00,2024-02-14 16:00:00,36.0,Resolved,Reboot
INC100113,Network Outage,High,Network Team,Remote Site 1,2024-02-05 00:00:00,2024-02-05 02:00:00,2.0,Resolved,Security Mitigation
INC100114,Security Breach,Critical,DevOps,Remote Site 1,2024-04-26 07:00:00,2024-04-27 07:00:00,24.0,Resolved,Reboot
INC100115,Security Breach,Critical,IT Support,Data Center A,2024-05-16 18:00:00,2024-05-19 09:00:00,63.0,Closed,Reboot
INC100116,Database Failure,Low,Network Team,Data Center B,2024-10-03 20:00:00,2024-10-05 11:00:00,39.0,Resolved,Reboot
INC100117,Server Crash,Low,Database Admin,Remote Site 1,2024-07-25 22:00:00,2024-07-27 03:00:00,29.0,Resolved,Security Mitigation
INC100118,Application Bug,Critical,DevOps,Head Office,2024-10-20 14:00:00,2024-10-22 21:00:00,55.0,Resolved,Configuration Fix
INC100119,Database Failure,Low,Database Admin,Data Center A,2024-11-19 10:00:00,2024-11-20 13:00:00,27.0,Resolved,Patch Applied
INC100120,Security Breach,Low,Network Team,Data Center B,2024-02-29 07:00:00,2024-03-03 06:00:00,71.0,Closed,Reboot
INC100121,Server Crash,Low,DevOps,Remote Site 1,2024-08-23 07:00:00,2024-08-25 20:00:00,61.0,Closed,Configuration Fix
INC100122,Network Outage,Medium,Security Team,Head Office,2024-08-27 22:00:00,2024-08-30 09:00:00,59.0,Resolved,Reboot
INC100123,Server Crash,High,Database Admin,Data Center B,2024-05-25 02:00:00,2024-05-25 17:00:00,15.0,Resolved,Security Mitigation
INC100124,Server Crash,Medium,Security Team,Data Center B,2024-01-25 08:00:00,2024-01-25 16:00:00,8.0,Resolved,Patch Applied
INC100125,Security Breach,High,DevOps,Data Center A,2024-06-08 23:00:00,2024-06-10 14:00:00,39.0,Resolved,Hardware Replacement
INC100126,Security Breach,Critical,DevOps,Data Center A,2024-07-23 03:00:00,2024-07-23 09:00:00,6.0,Resolved,Hardware Replacement
INC100127,Security Breach,High,IT Support,Data Center A,2024-03-19 03:00:00,2024-03-19 06:00:00,3.0,Resolved,Configuration Fix
INC100128,Database Failure,Low,Network Team,Remote Site 1,2024-06-26 03:00:00,2024-06-28 12:00:00,57.0,Resolved,Configuration Fix
INC100129,Server Crash,Critical,DevOps,Data Center A,2024-06-09 10:00:00,2024-06-11 07:00:00,45.0,Resolved,Hardware Replacement
INC100130,Security Breach,High,IT Support,Data Center B,2024-04-22 13:00:00,2024-04-24 18:00:00,53.0,Resolved,Hardware Replacement
INC100131,Security Breach,Critical,Database Admin,Data Center A,2024-06-04 05:00:00,2024-06-04 17:00:00,12.0,Resolved,Configuration Fix
INC100132,Security Breach,High,IT Support,Remote Site 1,2024-10-22 05:00:00,2024-10-24 23:00:00,66.0,Closed,Reboot
INC100133,Database Failure,Critical,DevOps,Data Center A,2024-03-05 00:00:00,2024-03-07 19:00:00,67.0,Closed,Configuration Fix
INC100134,Database Failure,Critical,DevOps,Data Center A,2024-03-10 11:00:00,2024-03-11 22:00:00,35.0,Resolved,Security Mitigation
INC100135,Server Crash,High,DevOps,Remote Site 1,2024-02-11 10:00:00,2024-02-11 14:00:00,4.0,Resolved,Security Mitigation
INC100136,Server Crash,Medium,Security Team,Remote Site 2,2024-01-05 16:00:00,2024-01-08 15:00:00,71.0,Closed,Hardware Replacement
INC100137,Network Outage,Medium,IT Support,Remote Site 1,2024-11-19 06:00:00,2024-11-19 22:00:00,16.0,Resolved,Patch Applied
INC100138,Application Bug,High,Database Admin,Head Office,2024-05-21 19:00:00,2024-05-24 09:00:00,62.0,Closed,Hardware Replacement
INC100139,Server Crash,Critical,Database Admin,Data Center B,2024-05-10 22:00:00,2024-05-11 23:00:00,25.0,Resolved,Security Mitigation
INC100140,Database Failure,Medium,IT Support,Head Office,2024-09-20 17:00:00,2024-09-22 23:00:00,54.0,Resolved,Configuration Fix
INC100141,Database Failure,High,IT Support,Head Office,2024-09-04 19:00:00,2024-09-06 10:00:00,39.0,Resolved,Security Mitigation
INC100142,Database Failure,Critical,Network Team,Remote Site 1,2024-07-02 20:00:00,2024-07-05 10:00:00,62.0,Closed,Configuration Fix
INC100143,Security Breach,Critical,DevOps,Head Office,2024-10-23 19:00:00,2024-10-24 20:00:00,25.0,Resolved,Patch Applied
INC100144,Database Failure,Critical,Network Team,Remote Site 1,2024-01-15 21:00:00,2024-01-17 14:00:00,41.0,Resolved,Hardware Replacement
INC100145,Application Bug,Critical,Network Team,Remote Site 1,2024-11-25 07:00:00,2024-11-25 12:00:00,5.0,Resolved,Patch Applied
INC100146,Database Failure,High,IT Support,Remote Site 1,2024-02-04 00:00:00,2024-02-06 20:00:00,68.0,Closed,Hardware Replacement
INC100147,Network Outage,Medium,DevOps,Data Center B,2024-01-26 12:00:00,2024-01-29 01:00:00,61.0,Closed,Configuration Fix
INC100148,Security Breach,Critical,IT Support,Head Office,2024-10-17 22:00:00,2024-10-20 19:00:00,69.0,Closed,Hardware Replacement
INC100149,Security Breach,Critical,Database Admin,Data Center A,2024-07-29 18:00:00,2024-07-30 03:00:00,9.0,Resolved,Patch Applied
INC100150,Security Breach,Medium,IT Support,Remote Site 1,2024-02-03 14:00:00,2024-02-04 03:00:00,13.0,Resolved,Hardware Replacement
INC100151,Server Crash,High,IT Support,Data Center A,2024-04-20 17:00:00,2024-04-21 01:00:00,8.0,Resolved,Configuration Fix
INC100152,Security Breach,High,DevOps,Data Center B,2024-03-24 08:00:00,2024-03-27 04:00:00,68.0,Closed,Hardware Replacement
INC100153,Database Failure,Medium,Network Team,Data Center B,2024-01-27 22:00:00,2024-01-29 23:00:00,49.0,Resolved,Security Mitigation
INC100154,Server Crash,Critical,Database Admin,Data Center B,2024-03-20 06:00:00,2024-03-22 18:00:00,60.0,Closed,Configuration Fix
INC100155,Application Bug,High,IT Support,Remote Site 1,2024-11-03 14:00:00,2024-11-05 03:00:00,37.0,Resolved,Security Mitigation
INC100156,Server Crash,Low,DevOps,Head Office,2024-07-19 13:00:00,2024-07-21 04:00:00,39.0,Resolved,Hardware Replacement
INC100157,Security Breach,Critical,Security Team,Data Center B,2024-05-11 07:00:00,2024-05-13 21:00:00,62.0,Closed,Reboot
INC100158,Server Crash,Critical,Database Admin,Head Office,2024-07-15 04:00:00,2024-07-16 18:00:00,38.0,Resolved,Configuration Fix
INC100159,Network Outage,Critical,Security Team,Data Center A,2024-07-12 04:00:00,2024-07-12 11:00:00,7.0,Resolved,Security Mitigation
INC100160,Application Bug,High,Network Team,Remote Site 2,2024-09-30 17:00:00,2024-10-02 15:00:00,46.0,Resolved,Patch Applied
INC100161,Server Crash,High,Network Team,Data Center A,2024-11-04 08:00:00,2024-11-04 14:00:00,6.0,Resolved,Configuration Fix
INC100162,Application Bug,Low,Database Admin,Head Office,2024-09-06 23:00:00,2024-09-07 16:00:00,17.0,Resolved,Reboot
INC100163,Security Breach,High,DevOps,Data Center B,2024-03-09 12:00:00,2024-03-10 05:00:00,17.0,Resolved,Security Mitigation
INC100164,Security Breach,High,Network Team,Head Office,2024-11-07 23:00:00,2024-11-10 13:00:00,62.0,Closed,Configuration Fix
INC100165,Security Breach,Low,DevOps,Data Center A,2024-02-18 01:00:00,2024-02-19 06:00:00,29.0,Resolved,Hardware Replacement
INC100166,Database Failure,High,IT Support,Remote Site 1,2024-01-05 18:00:00,2024-01-07 04:00:00,34.0,Resolved,Security Mitigation
INC100167,Network Outage,Critical,Security Team,Head Office,2024-07-18 12:00:00,2024-07-20 13:00:00,49.0,Resolved,Configuration Fix
INC100168,Network Outage,Medium,DevOps,Data Center A,2024-07-30 11:00:00,2024-08-02 11:00:00,72.0,Closed,Configuration Fix
INC100169,Database Failure,Medium,IT Support,Remote Site 1,2024-11-06 09:00:00,2024-11-08 00:00:00,39.0,Resolved,Hardware Replacement
INC100170,Network Outage,Medium,IT Support,Data Center A,2024-04-13 21:00:00,2024-04-16 13:00:00,64.0,Closed,Reboot
INC100171,Network Outage,Medium,Database Admin,Data Center B,2024-05-12 15:00:00,2024-05-15 02:00:00,59.0,Resolved,Configuration Fix
INC100172,Database Failure,Critical,Database Admin,Data Center B,2024-10-29 05:00:00,2024-10-31 11:00:00,54.0,Resolved,Reboot
INC100173,Application Bug,Critical,Security Team,Data Center A,2024-08-23 14:00:00,2024-08-25 14:00:00,48.0,Resolved,Patch Applied
INC100174,Application Bug,Critical,Network Team,Head Office,2024-02-03 21:00:00,2024-02-05 21:00:00,48.0,Resolved,Security Mitigation
INC100175,Security Breach,Low,DevOps,Head Office,2024-03-05 18:00:00,2024-03-06 10:00:00,16.0,Resolved,Hardware Replacement
INC100176,Network Outage,Medium,Database Admin,Data Center A,2024-01-18 06:00:00,2024-01-20 01:00:00,43.0,Resolved,Patch Applied
INC100177,Server Crash,Medium,IT Support,Remote Site 2,2024-03-11 17:00:00,2024-03-12 21:00:00,28.0,Resolved,Patch Applied
INC100178,Security Breach,Medium,Database Admin,Data Center A,2024-04-04 15:00:00,2024-04-05 10:00:00,19.0,Resolved,Patch Applied
INC100179,Database Failure,High,Network Team,Data Center A,2024-08-13 15:00:00,2024-08-13 19:00:00,4.0,Resolved,Patch Applied
INC100180,Network Outage,High,Network Team,Remote Site 2,2024-04-20 12:00:00,2024-04-20 15:00:00,3.0,Resolved,Patch Applied
INC100181,Security Breach,Low,Network Team,Remote Site 1,2024-06-28 13:00:00,2024-06-29 04:00:00,15.0,Resolved,Reboot
INC100182,Application Bug,Critical,Security Team,Remote Site 2,2024-07-21 15:00:00,2024-07-22 05:00:00,14.0,Resolved,Hardware Replacement
INC100183,Database Failure,Medium,Database Admin,Data Center A,2024-09-05 05:00:00,2024-09-08 00:00:00,67.0,Closed,Configuration Fix
INC100184,Application Bug,Low,IT Support,Remote Site 1,2024-10-16 05:00:00,2024-10-18 09:00:00,52.0,Resolved,Hardware Replacement
INC100185,Network Outage,Critical,DevOps,Data Center A,2024-11-02 22:00:00,2024-11-03 09:00:00,11.0,Resolved,Configuration Fix
INC100186,Database Failure,Medium,IT Support,Data Center B,2024-04-03 20:00:00,2024-04-06 19:00:00,71.0,Closed,Configuration Fix
INC100187,Application Bug,High,DevOps,Remote Site 2,2024-07-25 15:00:00,2024-07-27 23:00:00,56.0,Resolved,Reboot
INC100188,Network Outage,Medium,DevOps,Remote Site 1,2024-10-30 03:00:00,2024-10-31 09:00:00,30.0,Resolved,Hardware Replacement
INC100189,Security Breach,Critical,DevOps,Remote Site 1,2024-09-06 00:00:00,2024-09-06 13:00:00,13.0,Resolved,Configuration Fix
INC100190,Application Bug,High,Security Team,Head Office,2024-11-21 11:00:00,2024-11-22 07:00:00,20.0,Resolved,Hardware Replacement
INC100191,Network Outage,Low,IT Support,Data Center A,2024-05-27 09:00:00,2024-05-27 22:00:00,13.0,Resolved,Configuration Fix
INC100192,Server Crash,Low,Database Admin,Remote Site 2,2024-07-10 17:00:00,2024-07-12 12:00:00,43.0,Resolved,Reboot
INC100193,Application Bug,High,DevOps,Data Center A,2024-11-26 13:00:00,2024-11-28 02:00:00,37.0,Resolved,Security Mitigation
INC100194,Security Breach,High,IT Support,Remote Site 2,2024-06-22 04:00:00,2024-06-23 08:00:00,28.0,Resolved,Patch Applied
INC100195,Application Bug,Medium,IT Support,Head Office,2024-10-15 13:00:00,2024-10-18 13:00:00,72.0,Closed,Configuration Fix
INC100196,Network Outage,High,Database Admin,Data Center B,2024-10-02 12:00:00,2024-10-04 19:00:00,55.0,Resolved,Security Mitigation
INC100197,Database Failure,Low,Database Admin,Head Office,2024-01-10 21:00:00,2024-01-11 21:00:00,24.0,Resolved,Configuration Fix
INC100198,Security Breach,High,Security Team,Data Center A,2024-03-02 22:00:00,2024-03-03 17:00:00,19.0,Resolved,Security Mitigation
INC100199,Application Bug,Low,Network Team,Data Center A,2024-02-01 07:00:00,2024-02-04 03:00:00,68.0,Closed,Patch Applied
INC100200,Application Bug,Critical,DevOps,Head Office,2024-02-23 17:00:00,2024-02-25 17:00:00,48.0,Resolved,Configuration Fix
INC100201,Security Breach,Low,IT Support,Data Center B,2024-02-23 17:00:00,2024-02-24 00:00:00,7.0,Resolved,Reboot
INC100202,Security Breach,Critical,DevOps,Remote Site 1,2024-07-26 05:00:00,2024-07-28 14:00:00,57.0,Resolved,Hardware Replacement
